claimReviewed,itemReviewed.author.name,itemReviewed.datePublished,datePublished,reviewRating.alternateName,language,domain
"""Grocery prices are up more than 21%. Electricity is up 31%. Gas is up 48%. Mortgage rates have more than doubled, and rent is skyrocketing.""",Katie Britt,2024-07-16,2024-07-16 05:04:00,mostly true,en,politifact.com
"In 2020, nine NATO members reached an alliance goal of spending at least 2% of their gross domestic product on defense, and that number rose to 23 members in 2024, recent NATO data shows.",Joe Biden,2024-07-09,2024-07-12 20:38:35,mostly true,en,politifact.com
"“When I worked on the Affordable Care Act, I wrote the amendment that allows all young people to stay on their parents’ health insurance until they turn 26. Overnight, millions of young Americans got health care.” ",Tammy Baldwin,2024-05-05,2024-05-17 19:48:08,mostly true,en,politifact.com
"If you went “anywhere in the world,” you could get a prescription filled for 40% to 60% less than it costs in the U.S.",Joe Biden,2024-02-22,2024-03-04 14:11:05,mostly true,en,politifact.com
"Says Section 1325 of U.S. immigration law was ""put into place in 1929, by a segregationist.""",Julián Castro,2019-06-30,2019-07-15 14:38:32,mostly true,en,politifact.com
"“In the time it’s going to take me to deliver this speech, we’ll go up another $20 million in debt.”",Mike Johnson,2023-10-25,2023-10-26 22:07:13,mostly true,en,politifact.com
"“According to the Congressional Budget Office,” the Inflation Reduction Act “will save the federal government $160 billion over the next 10 years because Medicare will be paying less for the prescription drugs they’re making available to seniors.”",Joe Biden,2023-08-29,2023-08-31 20:58:16,mostly true,en,politifact.com
"“Washington DC allows non-citizens to vote in (municipal elections)"" so a Russian citizen, after living in Washington for 30 days can ""vote for mayor in Washington DC. And they don’t even need to show their ID to do it.”",Bryan Steil,2023-09-28,2023-12-04 19:34:24,mostly true,en,politifact.com
"“Because wages are rising, this Thanksgiving dinner is the fourth-cheapest ever as a percentage of average earnings.”",Karine Jean-Pierre,2023-11-21,2023-11-22 00:25:06,mostly true,en,politifact.com
"U.S. inflation is ""now down close to 3%, the lowest among the world’s leading economies.""",Joe Biden,2023-08-29,2023-09-01 16:05:12,mostly true,en,politifact.com
