claimReviewed,itemReviewed.author.name,itemReviewed.datePublished,datePublished,reviewRating.alternateName,language,domain,converted_label
Montevideo Portal publicó que Manini Ríos asumirá como ministro del Interior,Varias fuentes,2021-05-22,2021-05-24 23:55:00,falso,es,factual.afp.com,false
Promoción de Mercadona que regala 500 euros,,,2020-04-05 00:00:00,falso,es,newtral.es,false
"Tanto los Mossos como la Guardia Urbana lo niegan y explican que nunca se dan datos desglosados por calle. Además, las cifras tampoco lo avalan.",Lorena Roldán,,2022-07-15 19:00:00,falso,es,verificat.cat,false
En 1991 Juan Cruz (UPN) obtuvo la presidencia con el aporte de HB,Pedro Sánchez,,2020-01-05 00:00:00,falso,es,newtral.es,false
Con la LUC la educación media superior dejó de ser obligatoria en Uruguay,Varias fuentes,2022-02-20,2022-02-24 15:26:00,falso,es,factual.afp.com,false
Este vídeo de FRONTEX muestra a una ONG que se lucra con el rescate de migrantes en el Mediterráneo,,,2019-06-27 00:00:00,falso,es,newtral.es,false
La vacuna anticovid infantil mata a un niño de cada 100 vacunados,Chinda Brandolino,2022-10-17,2022-10-27 20:09:00,falso,es,factual.afp.com,false
"El primer puente feminista de la historia, construido por mujeres, se derrumbó en 24 horas",,,2019-12-25 00:00:00,falso,es,newtral.es,false
Halyna Hutchins preparaba un documental sobre las redes de pedófilos de Hollywood,,,2021-11-02 00:00:00,falso,es,newtral.es,false
Fotos de un crucero accidentado en República Dominicana,Varias fuentes,2021-05-15,2021-05-24 18:08:00,falso,es,factual.afp.com,false
En los últimos diez años Madrid ha abierto 12 hospitales públicos,Pablo Casado,,2020-04-25 00:00:00,falso,es,newtral.es,false
Esta imagen muestra un caza a reacción ruso derribado por Ucrania.,,,2022-02-28 00:00:00,falso,es,newtral.es,false
Pedro Sánchez rechaza a última hora una entrevista con Susanna Griso y la cambia por asistir a programa de Silvia Intxaurrondo en RTVE,,,2023-07-21 00:00:00,falso,es,maldita.es,false
Biden ordenó el primer bombardeo ejecutado por una comandante trans,Varias fuentes,2021-02-26,2021-03-24 17:45:00,falso,es,factual.afp.com,false
La Policía Nacional informa sobre un nuevo método de secuestro que incluye a un niño que llora en la calle,,,2019-09-18 00:00:00,falso,es,newtral.es,false
Fotos de ataque iraní a bases militares de Estados Unidos,Fuentes múltiples,2020-01-08,2020-01-10 16:54:00,falso,es,factual.afp.com,false
"Ese video, en el que se señala que se encontraron boletas electorales marcadas a favor del partido Morena en una carretera, es evidencia de fraude para las elecciones presidenciales de México del 2 de junio de 2024.",,,2024-05-23 00:00:00,falso,es,univision.com,false
Un virus diseñado en laboratorio promete matar todos los tipos de cáncer conocidos,,,2019-11-13 00:00:00,falso,es,maldita.es,false
Capturan a 13 personas por delitos electorales en el Magdalena,,,2022-03-13 22:23:23,falso,es,colombiacheck.com,false
"“Una intervención quirúrgica, una consulta, una prueba diagnóstica en Castilla-La Mancha se retrasa más que en el resto de la media de las autonomías, como norma general”.",Paco Núñez,2023-08-28,2023-08-30 00:00:00,falso,es,newtral.es,false
Pornhub crea una nueva categoria: videos de niñas ucranianas y violaciones de guerra,,,2022-04-11 00:00:00,falso,es,maldita.es,false
"""Uno de mis sueños como senadora es privatizar Pemex"".",Animal Politico - El Sabueso,,2023-12-01 12:39:39,falso,es,animalpolitico.com,false
La supuesta imagen de la televisión de Arabia Saudí en la que aparece pixelado el pelo de Angela Merkel,,,2021-01-25 00:00:00,falso,es,newtral.es,false
Este vídeo muestra a maquilladores y actores en Gaza fingiendo estar heridos tras supuestos ataques israelíes para que el mundo sienta pena por ellos.,,,2023-11-02 00:00:00,falso,es,newtral.es,false
“Estamos en la cola de Europa en vacunación”,Rosa María Romero Sánchez,2021-03-24,2021-03-26 00:00:00,falso,es,newtral.es,false
"La Asamblea de Ecuador no es agencia de caridad, dice Saquicela",Varios autores,2023-03-27,2023-04-04 17:03:00,falso,es,factual.afp.com,false
"Barcelona no es la ciudad española con los impuestos más altos, como dice Bou",,,2019-05-15 14:32:00,falso,es,verificat.cat,false
No hay librerías en El Ejido,,,2019-11-04 00:00:00,falso,es,newtral.es,false
El Tribunal de Crímenes Atroces de Manila (Filipinas) emite una orden de arresto contra Bill Gates por “asesinato premeditado” por el lanzamiento de la vacuna contra la covid-19.,,,2023-03-21 00:00:00,falso,es,newtral.es,false
Video muestra a ciudadanos de China esposados por saltear prueba covid,Varias fuentes,2022-07-14,2022-07-29 20:08:00,falso,es,factual.afp.com,false
a les contaron que 6 aeropuertos de Colombia se quedaron sin vigilancia de,,,2022-11-30 16:15:42,cuestionable,es,colombiacheck.com,mixture
Chile aprobó  ley que cambio del término mujer por personas mestruantes,,,2022-05-19 15:06:11,cuestionable,es,colombiacheck.com,mixture
Oposición en Cámara votó sí a vacuna COVID gratis para todos: K. Miranda,,,2021-03-18 19:00:00,cuestionable,es,colombiacheck.com,mixture
Polo Polo dice en un video que le zampa el Esmad a quienes marchen y Fecode,,,2022-08-24 23:25:50,cuestionable,es,colombiacheck.com,mixture
Foto en Juegos Olímpicos de Tokio 2020 entre Abel Mutai e Iván Fernández,,,2021-08-11 15:48:49,cuestionable,es,colombiacheck.com,mixture
El 70% del gabinete en la Alcaldía de Rodolfo Hernández eran mujeres,,,2022-06-06 20:38:37,cuestionable,es,colombiacheck.com,mixture
Mapa muestra el valor de la gasolina en Latinoamérica,,,2022-10-12 22:07:01,cuestionable,es,colombiacheck.com,mixture
TV italiana mostró que coronavirus se creó en un laboratorio en 2015,,,2020-04-01 17:30:13,cuestionable,es,colombiacheck.com,mixture
En Pensilvania aparecieron más de 21.000 muertos en lista de votantes,,,2020-11-18 21:17:02,cuestionable,es,colombiacheck.com,mixture
"Muertes evitables en Colombia entre 1998 y 2010 fueron de 1,3 millones",,,2021-05-24 19:08:53,cuestionable,es,colombiacheck.com,mixture
Gobierno Petro gesta una Ley para supervisar el contenido de la prensa,,,2023-03-21 17:33:04,cuestionable,es,colombiacheck.com,mixture
Encuesta de Guarumo arroja desaprobación de 80% al Gobierno Petro,,,2023-09-20 19:35:55,cuestionable,es,colombiacheck.com,mixture
La bandera al revés es símbolo de auxilio internacional,,,2021-05-06 01:20:31,cuestionable,es,colombiacheck.com,mixture
Asteroide capaz de acabar con la civilización humana pasará cerca de la Tie,,,2020-03-03 18:27:44,cuestionable,es,colombiacheck.com,mixture
24 de abril Día internacional de la violación,,,2021-04-23 22:00:45,cuestionable,es,colombiacheck.com,mixture
Piedad Córdoba contará todo lo del fraude en las elecciones de 2022,,,2023-01-26 21:13:40,cuestionable,es,colombiacheck.com,mixture
"si les reducía el SOAT, iba a reducir la cobertura a más de la mitad",,,2022-12-27 21:47:40,cuestionable,es,colombiacheck.com,mixture
Chile rechazó la constituyente,,,2022-09-08 16:27:46,cuestionable,es,colombiacheck.com,mixture
Desabastesimiento de alimentos en Europa es como el de Venezuela,,,2022-07-26 16:51:33,cuestionable,es,colombiacheck.com,mixture
Hombres trans que también menstrúan,,,2023-04-12 15:45:47,cuestionable,es,colombiacheck.com,mixture
160 médicos desaprueban vacuna anti Covid porque cambiará nuestro ADN,,,2020-08-19 22:00:14,cuestionable,es,colombiacheck.com,mixture
El gasto en salud en Colombia es de solo el 6% del PIB,,,2023-04-19 22:24:39,cuestionable,es,colombiacheck.com,mixture
"Manifestantes pro-Hamas atacaron la Ópera de Sydney, en Australia",,,2023-10-11 15:09:10,cuestionable,es,colombiacheck.com,mixture
