claimReviewed,itemReviewed.author.name,itemReviewed.datePublished,datePublished,reviewRating.alternateName,language,domain,converted_label
Un hombre sospechoso o un musulmán camina en una torre de Notre Dame durante el incendio,Fuentes múltiples,2019-04-16,2019-04-18 00:39:00,falso,es,factual.afp.com,false
Un musulmán agrediendo a dos mujeres en un centro de salud en España,Fuentes múltiples,2018-11-12,2019-07-08 16:25:00,falso,es,factual.afp.com,false
Este video es de un lanzamiento de cohetes de Hezbollah contra Israel durante la guerra actual.,,2023-10-14,2023-10-23 00:00:00,falso  fuera de contexto,es,univision.com,
"La misma niña siria en tres bombardeos, manipulación o montaje",Fuentes múltiples,2019-08-11,2019-08-29 18:10:00,falso,es,factual.afp.com,false
Cristiano Ronaldo posó para una foto con una camiseta del Pacto Histórico,Varias fuentes,2022-05-24,2022-05-25 23:52:00,falso,es,factual.afp.com,false
Una foto muestra a Gustavo Petro junto a Jesús Santrich,Varias fuentes,2022-04-13,2022-05-20 17:32:00,falso,es,factual.afp.com,false
"Todo el llano contra el narcotrá-Fico, dice valla publicitaria en Colombia",Varios autores,2022-03-24,2022-03-30 19:08:00,falso,es,factual.afp.com,false
Una valla publicitaria de Federico Gutiérrez apareció en Times Square,Varias fuentes,2022-04-10,2022-05-18 19:14:00,falso,es,factual.afp.com,false
"Ese video que muestra filas de furgonetas y camiones detenidos frente al puesto de control de la Franja de Gaza con Egipto es del marco actual de la guerra entre Israel y Hamas iniciada el 7 de octubre,",,2023-10-15,2023-10-23 00:00:00,fuera de contexto,es,univision.com,
"""Florida se arrepiente de la LEY ANTI MIGRANTE"". ",,2023-06-08,2023-06-22 00:00:00,falso,es,univision.com,false
El coronavirus fue lanzado con un interés político por China y su gobierno comunista,Yuyuniz Navas,2021-04-20,2021-04-20 00:00:00,falso,es,malaespinacheck.cl,false
"“Debido al aumento de la temperatura en los próximos días, no llene la gasolina hasta el límite máximo. Puede causar una explosión en el tanque de combustible”.",,2023-06-14,2023-06-24 00:00:00,falso,es,univision.com,false
"Jack Ma y Elon Musk presentaron un programa de criptomonedas con el que las personas pueden generar “1,500 euros” en “cinco horas” como se ve en un video. ",,2023-06-28,2023-06-21 00:00:00,falso  manipulado,es,univision.com,
"La Agenda 2030 busca reducir la población a través del aborto o la eutanasia y privatizar los recursos naturales.
",,2023-06-24,2023-06-19 00:00:00,falso,es,univision.com,false
"[T] No, Islandia no va a pagar 1.800 euros mensuales a los hombres que se casen con una islandesa",,,2017-03-06 00:00:00,falso,es,maldita.es,false
"El hierro en los cereales es ""altamente dañino para nuestro cuerpo"". ",,,2023-06-01 00:00:00,falso,es,univision.com,false
"La nueva ministra de Infancia y Juventud, Sira Rego, publica un vídeo con la bandera de la República llegando al Ministerio",,,2023-11-22 00:00:00,falso,es,maldita.es,false
Elon Musk creó esa robot para que sea su esposa. ,,2023-05-16,2023-06-02 00:00:00,falso,es,univision.com,false
Imagen muestra criatura humana aterradora grabada en un bosque de Estados Unidos.,,2023-05-30,2023-06-01 00:00:00,falso,es,univision.com,false
Inmigrantes saliendo de la comisaría de Cartagena con bolsas de Cruz Roja y móviles,,,2023-11-22 00:00:00,contexto,es,maldita.es,
Georgia Meloni prohíbe en Italia el uso del hijab en las escuelas,,,2023-11-22 00:00:00,falso,es,maldita.es,false
Al Nassr rescindió contrato a jugador que se negó a ceder el 7 a Ronaldo,Varios autores,2023-01-01,2023-01-11 17:43:00,falso,es,factual.afp.com,false
¿Estoy en peligro si ya me vacuné con la Johnson & Johnson?,,2021-04-13,2021-04-14 00:00:00,esto es lo que sabemos,es,univision.com,
El hombre asesinado en Granada es el sicario de Vidal-Quadras,,,2023-11-22 00:00:00,contexto,es,maldita.es,
"Este video muestra cómo ""explotan playa de Israel"".",,2023-10-18,2023-10-20 00:00:00,falso  fuera de contexto,es,univision.com,
Disparan en Madrid a Alejo Vidal-Quadras,,,2023-11-21 00:00:00,contexto,es,maldita.es,
"""Manifestantes pro palestinos y policías se enfrentaron en las calles de Barcelona, ​​España. Las protestas son parte de represalias después del bombardeo de un hospital en Gaza"".",,2023-10-17,2023-10-20 00:00:00,falso  fuera de contexto,es,univision.com,
La nueva ministra de Vivienda cobra 5.130 mensuales por arrendamiento,,,2023-11-22 00:00:00,falso,es,maldita.es,false
