claimReviewed,itemReviewed.author.name,itemReviewed.datePublished,datePublished,reviewRating.alternateName,language,domain
"""Credit card debt is above $1 trillion for the FIRST TIME EVER.""",Jim Justice,2023-08-14,2023-10-19 20:03:03,mostly true,en,politifact.com
“The Inflation Reduction Act led to higher taxes.”,Americans for Prosperity,2023-07-17,2023-10-19 20:14:20,mostly false,en,politifact.com
“2022 was the biggest tourism year ever in West Virginia”,Jim Justice,2023-09-13,2023-10-24 01:13:14,mixture,en,politifact.com
Black flag hoisted over a mosque in Iran is a “call to all of Islam for war.”,Facebook post,2023-10-17,2023-10-24 13:25:50,false,en,politifact.com
A video shows “a car carrying men waving the Palestinian flag abruptly and dangerously stopping traffic to run ‘donuts.’”,Instagram post,2023-10-12,2023-10-20 21:12:13,false,en,politifact.com
“Nikki Haley argues in support of bringing Gaza refugees to America.”,Never Back Down,2023-10-16,2023-10-20 21:38:42,false,en,politifact.com
"“In the last 11 months, Customs and Border Patrol has averaged 200,000 apprehensions a month, and you know how many beds we have to detain people at the border? 38,000.""",Chris Christie,2023-10-18,2023-10-20 21:19:51,mostly true,en,politifact.com
"Jim Justice ""opposes the Right to Work”",Alex Mooney,2023-08-21,2023-10-24 21:46:55,mostly false,en,politifact.com
Jim Justice “supports banning sporting rifles for law-abiding citizens.”,Alex Mooney,2023-08-21,2023-10-24 21:48:10,false,en,politifact.com
"Video shows North Korean President Kim Jong Un blaming President Joe Biden for the Israel-Hamas war and Russia’s invasion of Ukraine, and saying, “I support Donald Trump for President in 2024.”",Instagram posts,2023-10-12,2023-10-20 21:49:31,false,en,politifact.com
"""Russia has hypersonic missile capabilities ahead of that of the U.S.”",Vivek Ramaswamy,2023-10-19,2023-10-21 01:06:03,mixture,en,politifact.com
"Sen. Joe Manchin’s “support for the (Inflation Reduction Act) could cost West Virginia 100,000 fossil fuel jobs.”",One Nation,2023-09-04,2023-10-24 21:50:47,mostly false,en,politifact.com
"“Since 1981, the state Senate has only rejected five executive appointments. The GOP today is more than doubling that number.” ",Melissa Agard,2023-10-17,2023-10-25 16:29:28,true,en,politifact.com
"Video shows an “inflatable decoy plane” at the Kabul airport in 2021.
",Viral image,2023-10-08,2023-10-25 17:12:24,false,en,politifact.com
"Video shows “Egyptians delivering food and water to Gaza” in October 2023.
",Instagram posts,2023-10-13,2023-10-25 17:13:30,false,en,politifact.com
"President Joe Biden declared a federal emergency and deployed the National Guard in October.
",Facebook posts,2023-10-14,2023-10-25 17:12:52,false,en,politifact.com
"Video shows CNN interviewing “actors.”
",TikTok posts,2023-10-17,2023-10-25 17:14:46,false,en,politifact.com
"“Thousands of U.S. troops make their way to Israel” in video.
",TikTok posts,2023-10-10,2023-10-25 17:14:09,false,en,politifact.com
"Video shows protesters in Lebanon “storming the border with Palestine in support of Gaza” in October 2023.
",Viral image,2023-10-13,2023-10-25 17:18:14,false,en,politifact.com
"Video shows Russia attacking Israel in October 2023.
",TikTok posts,2023-10-18,2023-10-25 17:15:28,false,en,politifact.com
"Video shows University of Pennsylvania students chanting, “We want Jewish genocide.”
",Viral image,2023-10-17,2023-10-25 17:16:03,false,en,politifact.com
"Greta Thunberg urged people to use “vegan grenades” because “no animals should have to give their life for all this mayhem and chaos.”
",Viral image,2023-10-23,2023-10-25 17:16:58,false,en,politifact.com
