claimReviewed,itemReviewed.author.name,itemReviewed.datePublished,datePublished,reviewRating.alternateName,language,domain,converted_label
"Como se aprecia en este vídeo, los legisladores iraníes gritaron en la Asamblea Consultiva de Irán ‘muerte a Israel, muerte a Estados Unidos’ tras declarar su apoyo a Hamás después del ataque del 7 de octubre.",,2023-10-10,2023-10-10 00:00:00,falso,es,newtral.es,false
Federico Gutiérrez propuso pagar $6.000 por hora de trabajo en Colombia,Varios autores,2022-04-18,2022-04-28 00:39:00,falso,es,factual.afp.com,false
"Audio de Ernesto Estrada, médico psiquiatra en Santander, en el que dice que la vacuna contra la COVID-19 de AstraZeneca lleva fragmentos del virus VIH, secuencias de ADN del parásito de la malaria y nanopartículas para el control externo por 5G.",,,2021-06-01 00:00:00,falso,es,maldita.es,false
Más de 400 jets privados en aeropuerto de Glasgow,,,2021-11-11 20:14:53,falso,es,colombiacheck.com,false
"El cardiólogo Valentín Fuster promociona este producto que elimina la hipertensión después del primer uso, como muestra este video. ",,2023-12-20,2023-12-04 00:00:00,falso  manipulado,es,univision.com,false
Bus fue quemado durante las protestas de transportistas en 2022,Varias fuentes,2022-04-04,2022-04-08 18:05:00,falso,es,factual.afp.com,false
"""Por primera vez en un mes de mayo ha caído un 7% la venta de vehículos""",Rafael Hernando,,2019-06-06 00:00:00,falso,es,newtral.es,false
Esta foto muestra un cartel luminoso desplegado sobre la fachada de la embajada de Estados Unidos en La Habana tras las recientes manifestaciones en Cuba,Varias fuentes,2021-07-19,2021-07-23 21:47:00,falso,es,factual.afp.com,false
El video muestra la ceremonia de despedida de South African Airways tras su cierre,Varias fuentes,2020-04-24,2020-07-23 18:47:00,falso,es,factual.afp.com,false
Video de rata corriendo fue grabado en el Aeropuerto Internacional Felipe Ángeles en 2023,Varias fuentes,2023-04-10,2023-04-14 22:54:00,falso,es,factual.afp.com,false
"En este video el presidente salvadoreño, Nayib Bukele, anuncia la salida de su país de la OEA",Varias fuentes,2022-10-20,2022-10-31 20:30:00,falso,es,factual.afp.com,false
Un comité médico de la FDA sobre las inoculaciones se opone a la tercera dosis: “Matan a más personas de las que salvan”,,,2021-09-28 00:00:00,falso,es,newtral.es,false
Mototaxistas en Santa Marta protestan contra Petro y el alza de la gasolina,Varios autores,2022-09-12,2022-09-13 23:36:00,falso,es,factual.afp.com,false
"“Quiero recordar las imágenes de la ciudad cerrada por la covid con barrios de Barcelona, como el Raval o la Trinitat Nova, con más de un 50% de paro”",Jaume Collboni,2022-05-26,2022-06-03 00:00:00,falso,es,newtral.es,false
"En Palmira, Colombia, se grabó el video del asesinato del conductor de un auto en una avenida",Varios autores,2022-12-11,2022-12-15 18:11:00,falso,es,factual.afp.com,false
Sergio Massa anunció que elimina los planes sociales,Mate con Mote,2023-11-08,2023-11-08 20:56:00,falso,es,factual.afp.com,false
